"","state","year","at_least_hs_grad","High.2018"
"433","Mississippi",2017,83.4,7.41
"434","Missouri",2017,89.2,7.87
"435","Montana",2017,93,8.33
"436","Nebraska",2017,90.9,9.19
"437","Nevada",2017,85.8,8.43
"438","New Hampshire",2017,92.8,7.41
"439","New Jersey",2017,89.2,8.62
"440","New Mexico",2017,85,7.66
"441","New York",2017,86.1,9.91
"442","North Carolina",2017,86.9,7.41
"443","North Dakota",2017,92.3,7.41
"444","Ohio",2017,89.8,8.33
"445","Oklahoma",2017,87.5,7.41
"446","Oregon",2017,90.2,9.96
"447","Pennsylvania",2017,89.9,7.41
"448","Rhode Island",2017,87.3,9.81
"449","South Carolina",2017,86.5,7.41
"450","South Dakota",2017,91.4,8.84
"451","Tennessee",2017,86.5,7.41
"452","Texas",2017,82.8,7.41
"453","Utah",2017,91.8,7.41
"454","Vermont",2017,92.3,10.22
"455","Virginia",2017,89,7.41
"456","Washington",2017,90.8,11.24
"457","West Virginia",2017,85.9,8.94
"458","Wisconsin",2017,91.7,7.41
"459","Wyoming",2017,92.8,7.41
