"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year","x.rfbmi5","se"
"108",108,"0400000US08",8,"Colorado",4.3,6.1,22.9,22.5,7.9,23.3,13,89.7,36.3,25.6,11.7,8.4,4.1,"CO",2011,NA,NA
"109",109,"0400000US09",9,"Connecticut",4.6,6.8,28.1,17.4,7.3,20.1,15.6,88.6,35.7,21.7,9,6.4,2.8,"CT",2011,NA,NA
"110",110,"0400000US10",10,"Delaware",4.2,8.5,31.7,20.3,7.4,16.7,11.3,87.4,28,20.6,9.7,6.3,3,"DE",2011,0.637688296834,0.0107937861477814
"111",111,"0400000US11",11,"District of Columbia",5,7.9,19.5,14.2,2.9,22.4,28.1,87.1,50.5,32,22.9,15.3,4.9,"DC",2011,0.528563926929189,0.0120198425900959
"112",112,"0400000US12",12,"Florida",5.7,8.8,30.1,20.9,8.6,16.8,9.2,85.5,26,25.3,13.7,9.2,5,"FL",2011,0.632979098616756,0.00706511769780715
"113",113,"0400000US13",13,"Georgia",5.9,10.1,29.4,20.5,6.6,17.7,9.8,84,27.5,29.3,14.7,9.6,4.1,"GA",2011,0.62662383905768,0.00795774843853997
"114",114,"0400000US15",15,"Hawaii",4.7,5.2,28.7,22.1,9.8,19.6,9.9,90.1,29.5,17.1,9.9,7.8,4.5,"HI",2011,0.556542477466723,0.00897753006618202
"115",115,"0400000US16",16,"Idaho",4.4,7.2,28.4,26.9,8.6,16.9,7.6,88.5,24.6,22.5,12.2,9.4,4.8,"ID",2011,0.622797571896293,0.0102725916110854
"116",116,"0400000US17",17,"Illinois",5.8,7.5,27.6,21.1,7.3,19.1,11.6,86.6,30.7,22.9,11.7,8.7,3.8,"IL",2011,0.640628700303811,0.00983160575626181
"117",117,"0400000US18",18,"Indiana",4.2,9.1,35.8,20.6,7.5,14.6,8.1,86.6,22.7,23.8,10.8,8.7,3.4,"IN",2011,0.656338465515079,0.00752372160890338
"118",118,"0400000US19",19,"Iowa",3.9,5.8,33.8,21.7,10,17.2,7.7,90.3,24.9,21.1,9.2,7.8,3,"IA",2011,0.647591654432226,0.00750485325977445
"119",119,"0400000US20",20,"Kansas",4.2,6.3,28.4,24,7.4,19.5,10.2,89.5,29.7,23.6,11,8,3.3,"KS",2011,0.643948817565663,0.0046936509112034
"120",120,"0400000US21",21,"Kentucky",7.9,10.4,34.3,20.1,6.7,12.3,8.4,81.7,20.6,31.4,14.3,10.8,3.7,"KY",2011,0.66474567415157,0.0078130182183767
"121",121,"0400000US22",22,"Louisiana",6.7,11.7,34.6,21,4.9,14.2,7,81.6,21.1,29,14.7,10.5,4.3,"LA",2011,0.675771288236081,0.00756090296331617
"122",122,"0400000US23",23,"Maine",3.6,6.1,34.5,19.7,9,17.4,9.7,90.2,27.1,25.5,12.4,8.6,3.9,"ME",2011,0.650464718918085,0.00585283434793747
"123",123,"0400000US24",24,"Maryland",4.5,7.4,26.2,19.6,6.3,19.9,16.1,88.2,36.1,19.1,9.2,6,2.7,"MD",2011,0.643924078309646,0.00779976424568856
"124",124,"0400000US25",25,"Massachusetts",4.9,6.2,26.3,16.2,7.6,22.1,16.6,88.9,38.7,23.8,10.4,7.7,3.7,"MA",2011,0.59319720438261,0.00586512339674251
"125",125,"0400000US26",26,"Michigan",3.5,8.1,31.1,23.8,8.2,15.6,9.7,88.4,25.3,26.9,13.7,10.5,3.9,"MI",2011,0.654360320508622,0.00717852468107594
"126",126,"0400000US27",27,"Minnesota",3.5,5,27.5,22.5,9.8,21.5,10.3,91.6,31.8,24.8,10.2,7.2,2.9,"MN",2011,0.624435801061733,0.0061166325517295
"127",127,"0400000US28",28,"Mississippi",6.9,12.8,30.6,22.3,7.8,12.6,7,80.3,19.7,32.7,17.6,12.6,4.7,"MS",2011,0.689045005516595,0.00730689446567454
"128",128,"0400000US29",29,"Missouri",4.4,8.8,32.1,22.5,6.7,16,9.4,86.8,25.4,25.3,12,9.2,3.8,"MO",2011,0.648261605664525,0.00905837903220114
"129",129,"0400000US30",30,"Montana",2.6,5.9,30.8,24.5,8,19.4,8.8,91.4,28.2,24,12.7,10.4,4.9,"MT",2011,0.602514932164089,0.00758199690693675
"130",130,"0400000US31",31,"Nebraska",4,5.7,29.2,24.1,9.2,18.9,8.9,90.3,27.8,21.7,10,8,3.1,"NE",2011,0.648782322929096,0.00462942328602314
"131",131,"0400000US32",32,"Nevada",6.4,9.4,29.2,25.6,7.2,14.7,7.5,84.2,22.2,19.7,10.6,8.4,4.7,"NV",2011,0.601551546778058,0.0121005804301909
"132",132,"0400000US33",33,"New Hampshire",2.9,5.9,29.5,19.1,9.5,21,12.1,91.2,33.1,16.5,8,6.1,2.5,"NH",2011,0.616448596065823,0.00887552844800694
"133",133,"0400000US34",34,"New Jersey",5.5,6.8,29.6,16.9,6.2,21.8,13.1,87.6,35,19.6,9.2,6.3,2.9,"NJ",2011,0.614668039264406,0.00639996670961283
"134",134,"0400000US35",35,"New Mexico",7.7,9.3,26.7,23.6,7.3,14.7,10.8,83.1,25.4,31.7,16.3,11.8,5.2,"NM",2011,0.621762364668483,0.00711960010547927
"135",135,"0400000US36",36,"New York",7,8.4,27.8,16.1,8.2,18.5,14,84.6,32.5,27,13.2,9.3,4.7,"NY",2011,0.603163579580273,0.00810032029463533
"136",136,"0400000US37",37,"North Carolina",6,9.9,27.7,21.4,8.5,17.7,8.9,84.1,26.5,28.3,13.9,10,3.6,"NC",2011,0.651209281305998,0.00754555254988406
